data,origVars,origType,other,symptoms,sex,ageGrpLower,ageGrpUpper,ageGrp,region,value,valueUnits
2020-02-26,ativos,ativos,,,All,,,,Portugal,,
2020-02-27,ativos,ativos,,,All,,,,Portugal,,
2020-02-28,ativos,ativos,,,All,,,,Portugal,,
2020-02-29,ativos,ativos,,,All,,,,Portugal,,
2020-03-01,ativos,ativos,,,All,,,,Portugal,,
2020-03-02,ativos,ativos,,,All,,,,Portugal,2,Count
2020-03-03,ativos,ativos,,,All,,,,Portugal,4,Count
2020-03-04,ativos,ativos,,,All,,,,Portugal,6,Count
2020-03-05,ativos,ativos,,,All,,,,Portugal,9,Count
2020-03-06,ativos,ativos,,,All,,,,Portugal,13,Count
2020-03-07,ativos,ativos,,,All,,,,Portugal,21,Count
2020-03-08,ativos,ativos,,,All,,,,Portugal,30,Count
2020-03-09,ativos,ativos,,,All,,,,Portugal,39,Count
2020-03-10,ativos,ativos,,,All,,,,Portugal,41,Count
2020-03-11,ativos,ativos,,,All,,,,Portugal,59,Count
2020-03-12,ativos,ativos,,,All,,,,Portugal,78,Count
2020-03-13,ativos,ativos,,,All,,,,Portugal,112,Count
2020-03-14,ativos,ativos,,,All,,,,Portugal,168,Count
2020-03-15,ativos,ativos,,,All,,,,Portugal,243,Count
2020-03-16,ativos,ativos,,,All,,,,Portugal,328,Count
2020-03-17,ativos,ativos,,,All,,,,Portugal,444,Count
2020-03-18,ativos,ativos,,,All,,,,Portugal,638,Count
2020-03-19,ativos,ativos,,,All,,,,Portugal,779,Count
2020-03-20,ativos,ativos,,,All,,,,Portugal,1009,Count
2020-03-21,ativos,ativos,,,All,,,,Portugal,1263,Count
2020-03-22,ativos,ativos,,,All,,,,Portugal,1581,Count
2020-03-23,ativos,ativos,,,All,,,,Portugal,2023,Count
2020-03-24,ativos,ativos,,,All,,,,Portugal,2307,Count
2020-03-25,ativos,ativos,,,All,,,,Portugal,2930,Count
2020-03-26,ativos,ativos,,,All,,,,Portugal,3441,Count
2020-03-27,ativos,ativos,,,All,,,,Portugal,4149,Count
2020-03-28,ativos,ativos,,,All,,,,Portugal,5027,Count
2020-03-29,ativos,ativos,,,All,,,,Portugal,5800,Count
2020-03-30,ativos,ativos,,,All,,,,Portugal,6225,Count
2020-03-31,ativos,ativos,,,All,,,,Portugal,7240,Count
2020-04-01,ativos,ativos,,,All,,,,Portugal,8021,Count
2020-04-02,ativos,ativos,,,All,,,,Portugal,8757,Count
2020-04-03,ativos,ativos,,,All,,,,Portugal,9572,Count
2020-04-04,ativos,ativos,,,All,,,,Portugal,10183,Count
2020-04-05,ativos,ativos,,,All,,,,Portugal,10908,Count
2020-04-06,ativos,ativos,,,All,,,,Portugal,11279,Count
2020-04-07,ativos,ativos,,,All,,,,Portugal,11913,Count
2020-04-08,ativos,ativos,,,All,,,,Portugal,12565,Count
2020-04-09,ativos,ativos,,,All,,,,Portugal,13342,Count
2020-04-10,ativos,ativos,,,All,,,,Portugal,14804,Count
2020-04-11,ativos,ativos,,,All,,,,Portugal,15251,Count
2020-04-12,ativos,ativos,,,All,,,,Portugal,15804,Count
2020-04-13,ativos,ativos,,,All,,,,Portugal,16122,Count
2020-04-14,ativos,ativos,,,All,,,,Portugal,16534,Count
2020-04-15,ativos,ativos,,,All,,,,Portugal,17109,Count
2020-04-16,ativos,ativos,,,All,,,,Portugal,17719,Count
2020-04-17,ativos,ativos,,,All,,,,Portugal,17846,Count
2020-04-18,ativos,ativos,,,All,,,,Portugal,18388,Count
2020-04-19,ativos,ativos,,,All,,,,Portugal,18882,Count
2020-04-20,ativos,ativos,,,All,,,,Portugal,19518,Count
2020-04-21,ativos,ativos,,,All,,,,Portugal,19700,Count
2020-04-22,ativos,ativos,,,All,,,,Portugal,20054,Count
2020-04-23,ativos,ativos,,,All,,,,Portugal,20332,Count
2020-04-24,ativos,ativos,,,All,,,,Portugal,20715,Count
2020-04-25,ativos,ativos,,,All,,,,Portugal,21114,Count
2020-04-26,ativos,ativos,,,All,,,,Portugal,21451,Count
2020-04-27,ativos,ativos,,,All,,,,Portugal,21561,Count
2020-04-28,ativos,ativos,,,All,,,,Portugal,21804,Count
2020-04-29,ativos,ativos,,,All,,,,Portugal,21881,Count
2020-04-30,ativos,ativos,,,All,,,,Portugal,22184,Count
2020-05-01,ativos,ativos,,,All,,,,Portugal,22333,Count
2020-05-02,ativos,ativos,,,All,,,,Portugal,22496,Count
2020-05-03,ativos,ativos,,,All,,,,Portugal,22550,Count
2020-05-04,ativos,ativos,,,All,,,,Portugal,22749,Count
2020-05-05,ativos,ativos,,,All,,,,Portugal,22885,Count
2020-05-06,ativos,ativos,,,All,,,,Portugal,23017,Count
2020-05-07,ativos,ativos,,,All,,,,Portugal,23352,Count
2020-05-08,ativos,ativos,,,All,,,,Portugal,23732,Count
2020-05-09,ativos,ativos,,,All,,,,Portugal,23781,Count
2020-05-10,ativos,ativos,,,All,,,,Portugal,23897,Count
2020-05-11,ativos,ativos,,,All,,,,Portugal,23986,Count
2020-05-12,ativos,ativos,,,All,,,,Portugal,23737,Count
2020-05-13,ativos,ativos,,,All,,,,Portugal,23775,Count
2020-05-14,ativos,ativos,,,All,,,,Portugal,23937,Count
2020-05-15,ativos,ativos,,,All,,,,Portugal,24065,Count
2020-05-16,ativos,ativos,,,All,,,,Portugal,23785,Count
2020-05-17,ativos,ativos,,,All,,,,Portugal,23182,Count
2020-05-18,ativos,ativos,,,All,,,,Portugal,21548,Count
2020-05-19,ativos,ativos,,,All,,,,Portugal,21754,Count
